Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	UCB57_A Spectral Count	UCB57_B Spectral Count	UCB57_C Spectral Count	UCB57_D Spectral Count	UCB57_E Spectral Count	UCB57_F Spectral Count	UCB57_Neat Spectral Count	UCB57_Raw Spectral Count	UCB78_A Spectral Count	UCB78_B Spectral Count	UCB78_C Spectral Count	UCB78_D Spectral Count	UCB78_E Spectral Count	UCB78_F Spectral Count	UCB78_Neat Spectral Count	UCB78_Raw Spectral Count	UCB79_A Spectral Count	UCB79_B Spectral Count	UCB79_C Spectral Count	UCB79_D Spectral Count	UCB79_E Spectral Count	UCB79_F Spectral Count	UCB79_Neat Spectral Count	UCB79_Raw Spectral Count	UCB57_A Unique Spectral Count	UCB57_B Unique Spectral Count	UCB57_C Unique Spectral Count	UCB57_D Unique Spectral Count	UCB57_E Unique Spectral Count	UCB57_F Unique Spectral Count	UCB57_Neat Unique Spectral Count	UCB57_Raw Unique Spectral Count	UCB78_A Unique Spectral Count	UCB78_B Unique Spectral Count	UCB78_C Unique Spectral Count	UCB78_D Unique Spectral Count	UCB78_E Unique Spectral Count	UCB78_F Unique Spectral Count	UCB78_Neat Unique Spectral Count	UCB78_Raw Unique Spectral Count	UCB79_A Unique Spectral Count	UCB79_B Unique Spectral Count	UCB79_C Unique Spectral Count	UCB79_D Unique Spectral Count	UCB79_E Unique Spectral Count	UCB79_F Unique Spectral Count	UCB79_Neat Unique Spectral Count	UCB79_Raw Unique Spectral Count	UCB57_A Total Spectral Count	UCB57_B Total Spectral Count	UCB57_C Total Spectral Count	UCB57_D Total Spectral Count	UCB57_E Total Spectral Count	UCB57_F Total Spectral Count	UCB57_Neat Total Spectral Count	UCB57_Raw Total Spectral Count	UCB78_A Total Spectral Count	UCB78_B Total Spectral Count	UCB78_C Total Spectral Count	UCB78_D Total Spectral Count	UCB78_E Total Spectral Count	UCB78_F Total Spectral Count	UCB78_Neat Total Spectral Count	UCB78_Raw Total Spectral Count	UCB79_A Total Spectral Count	UCB79_B Total Spectral Count	UCB79_C Total Spectral Count	UCB79_D Total Spectral Count	UCB79_E Total Spectral Count	UCB79_F Total Spectral Count	UCB79_Neat Total Spectral Count	UCB79_Raw Total Spectral Count	UCB57_A Intensity	UCB57_B Intensity	UCB57_C Intensity	UCB57_D Intensity	UCB57_E Intensity	UCB57_F Intensity	UCB57_Neat Intensity	UCB57_Raw Intensity	UCB78_A Intensity	UCB78_B Intensity	UCB78_C Intensity	UCB78_D Intensity	UCB78_E Intensity	UCB78_F Intensity	UCB78_Neat Intensity	UCB78_Raw Intensity	UCB79_A Intensity	UCB79_B Intensity	UCB79_C Intensity	UCB79_D Intensity	UCB79_E Intensity	UCB79_F Intensity	UCB79_Neat Intensity	UCB79_Raw Intensity	UCB57_A MaxLFQ Intensity	UCB57_B MaxLFQ Intensity	UCB57_C MaxLFQ Intensity	UCB57_D MaxLFQ Intensity	UCB57_E MaxLFQ Intensity	UCB57_F MaxLFQ Intensity	UCB57_Neat MaxLFQ Intensity	UCB57_Raw MaxLFQ Intensity	UCB78_A MaxLFQ Intensity	UCB78_B MaxLFQ Intensity	UCB78_C MaxLFQ Intensity	UCB78_D MaxLFQ Intensity	UCB78_E MaxLFQ Intensity	UCB78_F MaxLFQ Intensity	UCB78_Neat MaxLFQ Intensity	UCB78_Raw MaxLFQ Intensity	UCB79_A MaxLFQ Intensity	UCB79_B MaxLFQ Intensity	UCB79_C MaxLFQ Intensity	UCB79_D MaxLFQ Intensity	UCB79_E MaxLFQ Intensity	UCB79_F MaxLFQ Intensity	UCB79_Neat MaxLFQ Intensity	UCB79_Raw MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa OX=9823	1:Experimental evidence at protein level	Trypsin	1.0	0.999	9	1191	1191	1191	197	0	93	0	0	0	51	84	116	0	137	0	0	0	50	72	125	0	131	0	0	0	44	91	197	0	93	0	0	0	51	84	116	0	137	0	0	0	50	72	125	0	131	0	0	0	44	91	197	0	93	0	0	0	51	84	116	0	137	0	0	0	50	72	125	0	131	0	0	0	44	91	2.49907364E10	0.0	2.86939791E10	0.0	0.0	0.0	6.8835671E9	9.671212E9	5.6594153E10	0.0	3.8818603E10	0.0	0.0	0.0	8.8331919E9	1.54988524E10	2.31065764E10	0.0	4.071141E10	0.0	0.0	0.0	3.64311808E9	2.44412764E10	2.44428718E10	0.0	6.5979935E9	0.0	0.0	0.0	4.8637619E9	6.0109107E9	1.2800254E10	0.0	1.32622244E10	0.0	0.0	0.0	4.8749435E9	1.09394104E10	1.20577464E10	0.0	1.01918392E10	0.0	0.0	0.0	5.0097592E9	1.04764836E10	
contam_sp|P02662|CASA1_BOVIN	P02662	CASA1_BOVIN	CSN1S1	214	Bos taurus OX=9913	1:Experimental evidence at protein level	Alpha-S1-casein	1.0	0.999	3	15	15	15	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.972056E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.82390112E8	0.0	3536012.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.68656352E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.86482064E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
contam_sp|P02668|CASK_BOVIN	P02668	CASK_BOVIN	CSN3	190	Bos taurus OX=9913	1:Experimental evidence at protein level	Kappa-casein	1.0	0.999	3	7	7	7	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56107584E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.21078576E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.153628E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7121376E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6H7|KV37_HUMAN	A0A075B6H7	KV37_HUMAN	IGKV3-7	116	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable non-functional immunoglobulin kappa variable 3-7	1.0	0.999	6	147	85	147	6	0	8	0	0	0	11	15	9	0	8	0	0	0	17	17	10	0	8	0	0	0	19	19	0	0	3	0	0	0	9	14	1	0	2	0	0	0	13	12	2	0	2	0	0	0	14	13	6	0	8	0	0	0	11	15	9	0	8	0	0	0	17	17	10	0	8	0	0	0	19	19	5.0017326E9	0.0	3.59458304E9	0.0	0.0	0.0	2.89379891E9	2.08665907E9	3.87878605E9	0.0	3.40362138E9	0.0	0.0	0.0	4.8724485E9	6.3595628E9	4.5757102E9	0.0	3.20935757E9	0.0	0.0	0.0	6.1717832E9	6.4477251E9	0.0	0.0	0.0	0.0	0.0	0.0	2.17079654E9	2.06817984E9	3.99084621E9	0.0	3.52054349E9	0.0	0.0	0.0	3.95239834E9	6.0697574E9	4.3524593E9	0.0	2.7584704E9	0.0	0.0	0.0	5.6366003E9	9.7670769E9	
sp|A0A075B6I0|LV861_HUMAN	A0A075B6I0	LV861_HUMAN	IGLV8-61	122	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 8-61	1.0	0.999	2	19	19	19	2	0	2	0	0	0	3	2	0	0	2	0	0	0	2	0	2	0	1	0	0	0	2	1	2	0	2	0	0	0	3	2	0	0	2	0	0	0	2	0	2	0	1	0	0	0	2	1	2	0	2	0	0	0	3	2	0	0	2	0	0	0	2	0	2	0	1	0	0	0	2	1	1.12043149E9	0.0	4.95454912E8	0.0	0.0	0.0	3.36845184E8	6.1358861E8	5.5763437E8	0.0	2.6584546E7	0.0	0.0	0.0	5.15527136E8	0.0	5.12406528E8	0.0	3.0419206E7	0.0	0.0	0.0	8.6369216E8	3.7461696E8	1.05989229E9	0.0	0.0	0.0	0.0	0.0	5.22103808E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.39617792E8	0.0	0.0	0.0	0.0	0.0	6.8898438E8	0.0	
sp|A0A075B6I9|LV746_HUMAN	A0A075B6I9	LV746_HUMAN	IGLV7-46	117	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 7-46	1.0	0.9988	3	45	5	45	4	0	7	0	0	0	4	4	5	0	5	0	0	0	3	2	3	0	5	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	4	0	7	0	0	0	4	4	5	0	5	0	0	0	3	2	3	0	5	0	0	0	2	1	1.11035098E9	0.0	3.3013488E8	0.0	0.0	0.0	1.52369776E8	4.0233312E8	1.38040704E9	0.0	7.061056E8	0.0	0.0	0.0	7.017145E8	5.24260992E8	1.54475213E9	0.0	7.3459213E8	0.0	0.0	0.0	1.03346368E9	5.30863616E8	7.0418374E8	0.0	0.0	0.0	0.0	0.0	9.1827704E7	1.53617232E8	9.2984582E8	0.0	5.05060224E8	0.0	0.0	0.0	4.7827408E8	3.51472128E8	1.02665581E9	0.0	5.14138368E8	0.0	0.0	0.0	6.9286701E8	3.85765696E8	
sp|A0A075B6J1|LV537_HUMAN	A0A075B6J1	LV537_HUMAN	IGLV5-37	123	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 5-37	0.8	0.9986	1	3	3	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7258287.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6J2|LV233_HUMAN	A0A075B6J2	LV233_HUMAN	IGLV2-33	118	Homo sapiens OX=9606	1:Experimental evidence at protein level	Probable non-functional immunoglobulin lambda variable 2-33	0.81	0.9987	1	36	36	36	5	0	8	0	0	0	0	0	5	0	7	0	0	0	0	0	5	0	6	0	0	0	0	0	5	0	8	0	0	0	0	0	5	0	7	0	0	0	0	0	5	0	6	0	0	0	0	0	5	0	8	0	0	0	0	0	5	0	7	0	0	0	0	0	5	0	6	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.6313888E8	0.0	3.8418752E8	0.0	0.0	0.0	0.0	0.0	7.4876634E8	0.0	3.7313248E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6J9|LV218_HUMAN	A0A075B6J9	LV218_HUMAN	IGLV2-18	118	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 2-18	1.0	0.9989	3	13	13	17	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	3	0	0	0	0	3	1	0	1	0	0	0	0	0	2	0	1	0	0	0	0	1	1	0	3	0	0	0	0	3	1	0	3	0	0	0	0	0	2	0	2	0	0	0	0	1	2	0	3	0	0	0	0	3	0.0	0.0	1.2697251E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.071936E7	0.0	0.0	0.0	0.0	0.0	0.0	1.67347744E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|A0A075B6K4|LV310_HUMAN	A0A075B6K4	LV310_HUMAN	IGLV3-10	115	Homo sapiens OX=9606	3:Protein inferred from homology	Immunoglobulin lambda variable 3-10	1.0	0.999	5	65	44	65	2	0	10	0	0	0	7	11	3	0	6	0	0	0	4	4	4	0	6	0	0	0	3	5	0	0	9	0	0	0	6	9	1	0	5	0	0	0	3	2	2	0	4	0	0	0	1	2	2	0	10	0	0	0	7	11	3	0	6	0	0	0	4	4	4	0	6	0	0	0	3	5	3.1627914E7	0.0	6917800.5	0.0	0.0	0.0	4.06988352E8	4.60200736E8	1.59568768E8	0.0	1.06367736E8	0.0	0.0	0.0	3.6727136E8	3.49796544E8	1.84506912E8	0.0	1.9014136E8	0.0	0.0	0.0	5.9654016E8	4.156032E8	0.0	0.0	0.0	0.0	0.0	0.0	2.66845984E8	2.41435696E8	1.26415128E8	0.0	3.3378892E7	0.0	0.0	0.0	2.11266144E8	2.43500816E8	7.05052E7	0.0	1.3328112E8	0.0	0.0	0.0	4.05120288E8	2.77419296E8	
